Type|Date|Source|Description|Reference|Currency|Debit (Source)|Credit (Source)|Debit (AUD)|Credit (AUD)|Running Balance (AUD)
Sales - Allograft|27 Aug 2024|Receivable Invoice|Greenslopes Private Hospital - ENHANCE Demineralized Cortical Fibers XLarge 10cc Freeze-Dried - CAA23 - 299298 (AU422206)|4506581935|AUD|0.00|6,310.00|0.00|6,310.00|6,310.00
Sales - Allograft|27 Aug 2024|Receivable Invoice|Cairns Private Hospital - ENHANCE Demineralized Cortical Fibers Large 5cc Freeze-Dried - CAA22 - 299298 (AU422205)|4506583527|AUD|0.00|2,845.00|0.00|2,845.00|2,845.00
Sales - Allograft|27 Aug 2024|Receivable Invoice|Cairns Private Hospital - ENHANCE Demineralized Cortical Fibers XLarge 10cc Freeze-Dried - CAA23 - 299298 (AU422206)|4506583724|AUD|0.00|3,155.00|0.00|3,155.00|3,155.00
Sales - Allograft|27 Aug 2024|Receivable Invoice|Cairns Private Hospital - ENHANCE Demineralized Cortical Fibers Large 5cc Freeze-Dried - CAA22 - 299298 (AU422205)|4506583750|AUD|0.00|2,845.00|0.00|2,845.00|2,845.00
Sales - Sydney Local Health District (Concord)|16 Aug 2024|Receivable Invoice|Sydney Local Health District (Concord) - Katana Pre-lordorsed Rod, 40mm (non-tip) - IY024 - 236041 (ES-04-3040)|47123750-31040|AUD|0.00|470.00|0.00|470.00|470.00
Sales - Sydney Local Health District (Concord)|16 Aug 2024|Receivable Invoice|Sydney Local Health District (Concord) - Katana Polyaxial Screw, 5.5x40mm - IY004 - 236041 (ES-04-1540)|47123750-31040|AUD|0.00|1,290.00|0.00|1,290.00|1,290.00
Sales - Sydney Local Health District (Concord)|16 Aug 2024|Receivable Invoice|Sydney Local Health District (Concord) - Katana Polyaxial Screw, 5.5x50mm - IY004 - 236041 (ES-04-1550)|47123750-31040|AUD|0.00|1,290.00|0.00|1,290.00|1,290.00
Sales - Sydney Local Health District (Concord)|16 Aug 2024|Receivable Invoice|Sydney Local Health District (Concord) - Katana Set Screw - IY010 - 236041 (ES-04-7000)|47123750-31040|AUD|0.00|340.00|0.00|340.00|340.00
Sales - Sydney Local Health District (Concord)|16 Aug 2024|Receivable Invoice|Sydney Local Health District (Concord) - Nitinol K-Wire 1.3x540mm (Sharp - MIS) - N/A - 236041 (ES-7002)|47123750-31040|AUD|0.00|40.00|0.00|40.00|40.00
Sales - Sydney Local Health District (Concord)|16 Aug 2024|Receivable Invoice|Sydney Local Health District (Concord) - Katana Pedicle Access Tool (Pack of 2) - N/A - 236041 (ES-04-9000)|47123750-31040|AUD|0.00|895.00|0.00|895.00|895.00
Sales - Royal Newcastle Hospital|26 Aug 2024|Receivable Invoice|Royal Newcastle Hospital - Noraker Glass Boneputty 10cc - IY002 - 341771 (GB-IP 10.0)|49807053|AUD|0.00|2,185.00|0.00|2,185.00|2,185.00
Sales - St Vincent's Hospital Sydney Ltd|23 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Noraker Glass Boneputty 2.5cc - IY001 - 341771 (GB-IP 2.5)|49987112|AUD|0.00|2,052.00|0.00|2,052.00|2,052.00
Sales - St Vincent's Hospital Sydney Ltd|23 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Tesera-k SA Cage - 42mm X 32mm x 13mm, 12 Deg Lordosis  - IY054 - 354092 (1067-142-213)|49987112|AUD|0.00|5,949.00|0.00|5,949.00|5,949.00
Sales - St Vincent's Hospital Sydney Ltd|23 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Tesera SA Variable Angle Hex Screw - 4.5 x 25 mm - IY056 - 354092 (1028-453-225)|49987112|AUD|0.00|744.00|0.00|744.00|744.00
Sales - St Vincent's Hospital Sydney Ltd|23 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Tesera SA Locking Plate - IY057 - 354092 (1028-003-001)|49987112|AUD|0.00|391.00|0.00|391.00|391.00
Sales - St Vincent's Hospital Sydney Ltd|21 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - V-Mix 03 Bone Cement & Mix System - OH503 - OH503 - 235604 (800047)|49993980|AUD|0.00|437.00|0.00|437.00|437.00
Sales - St Vincent's Hospital Sydney Ltd|21 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Screwfix - Cement Injection Cannula for Pedicle Screws - N/A (SF092512C1D)|49993980|AUD|0.00|1,440.00|0.00|1,440.00|1,440.00
Sales - St Vincent's Hospital Sydney Ltd|21 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - V-HP GUN - OH503 - 235604 (900165)|49993980|AUD|0.00|437.00|0.00|437.00|437.00
Sales - St Vincent's Hospital Sydney Ltd|21 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - V-Mix 03 Bone Cement & Mix System - OH503 - OH503 - 235604 (800047)|49993980|AUD|0.00|437.00|0.00|437.00|437.00
Sales - St Vincent's Hospital Sydney Ltd|21 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Katana Polyaxial Fen Screw, 5.5x35mm - IY004 - 236041 (ES-04-3535)|49993980|AUD|0.00|1,780.00|0.00|1,780.00|1,780.00
Sales - St Vincent's Hospital Sydney Ltd|21 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Katana Polyaxial Fen Screw, 5.5x45mm - IY004 - 236041 (ES-04-3545)|49993980|AUD|0.00|3,560.00|0.00|3,560.00|3,560.00
Sales - St Vincent's Hospital Sydney Ltd|21 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Katana Polyaxial Fen Screw, 6.5x45mm - IY004 - 236041 (ES-04-3645)|49993980|AUD|0.00|1,780.00|0.00|1,780.00|1,780.00
Sales - St Vincent's Hospital Sydney Ltd|21 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Katana Polyaxial Fen Screw, 7.5x45mm - IY004 - 236041 (ES-04-3745)|49993980|AUD|0.00|1,780.00|0.00|1,780.00|1,780.00
Sales - St Vincent's Hospital Sydney Ltd|21 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Katana Cross Connector - Large - IY018 - 236041 (ES-04-6103)|49993980|AUD|0.00|800.00|0.00|800.00|800.00
Sales - St Vincent's Hospital Sydney Ltd|21 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Katana Pre-lordorsed Rod, 120mm (non-tip) - IY024 - 236041 (ES-04-3120)|49993980|AUD|0.00|235.00|0.00|235.00|235.00
Sales - St Vincent's Hospital Sydney Ltd|21 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Katana Pre-lordorsed Rod, 130mm (non-tip) - IY024 - 236041 (ES-04-3130)|49993980|AUD|0.00|235.00|0.00|235.00|235.00
Sales - St Vincent's Hospital Sydney Ltd|21 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Katana Set Screw - IY010 - 236041 (ES-04-7000)|49993980|AUD|0.00|935.00|0.00|935.00|935.00
Sales - St Vincent's Hospital Sydney Ltd|21 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Noraker Glass Boneputty 2.5cc - IY001 - 341771 (GB-IP 2.5)|50175038|AUD|0.00|1,026.00|0.00|1,026.00|1,026.00
Sales - St Vincent's Hospital Sydney Ltd|21 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Standalone Locking Cervical Cage Size 7, Large - IY029 - 322672 (HRC7Ld)|50175038|AUD|0.00|7,000.00|0.00|7,000.00|7,000.00
Sales - St Vincent's Hospital Sydney Ltd|21 Aug 2024|Receivable Invoice|St Vincent's Hospital Sydney Ltd - Caspar Traction Screws 14mm - N/A - 259733 (FF904SB)|50175038|AUD|0.00|400.00|0.00|400.00|400.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Polyaxial Screw, 4.5x35mm - IY004 - 236041 (ES-04-1435)|50385531|AUD|0.00|820.00|0.00|820.00|820.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Polyaxial Screw, 5.5x30mm - IY004 - 236041 (ES-04-1530)|50385531|AUD|0.00|1,640.00|0.00|1,640.00|1,640.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Polyaxial Screw, 5.5x35mm - IY004 - 236041 (ES-04-1535)|50385531|AUD|0.00|4,100.00|0.00|4,100.00|4,100.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Polyaxial Screw, 5.5x40mm - IY004 - 236041 (ES-04-1540)|50385531|AUD|0.00|4,920.00|0.00|4,920.00|4,920.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Pedicle Hook - Small - IY021 - 236041 (ES-04-9001)|50385531|AUD|0.00|1,420.00|0.00|1,420.00|1,420.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Wide Hook - Large - IY021 - 236041 (ES-04-9103)|50385531|AUD|0.00|1,420.00|0.00|1,420.00|1,420.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Set Screw - IY010 - 236041 (ES-04-7000)|50385531|AUD|0.00|2,160.00|0.00|2,160.00|2,160.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana CoCr Rod, 500mm - IY026 - 236041 (ES-04-4501)|50385531|AUD|0.00|990.00|0.00|990.00|990.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Rod, 500mm - IY026 - 236041 (ES-04-4500)|50385531|AUD|0.00|990.00|0.00|990.00|990.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Cross Connector, 27mm - IY015 - 236041 (ES-04-6127)|50385531|AUD|0.00|655.00|0.00|655.00|655.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Cross Connector - Medium - IY018 - 236041 (ES-04-6102)|50385531|AUD|0.00|950.00|0.00|950.00|950.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - JAZZ EVO - 5.5mm Connector Kit - IY042 - 200830 (150258)|50385531|AUD|0.00|3,040.00|0.00|3,040.00|3,040.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - JAZZ BAND - IY040 - 200830 (150156)|50385531|AUD|0.00|3,040.00|0.00|3,040.00|3,040.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - JAZZ BAND - IY040 - 200830 (150156)|50385776|AUD|0.00|2,280.00|0.00|2,280.00|2,280.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - JAZZ EVO - 5.5mm Connector Kit - IY042 - 200830 (150258)|50385776|AUD|0.00|2,280.00|0.00|2,280.00|2,280.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Cross Connector - Medium - IY018 - 236041 (ES-04-6102)|50385776|AUD|0.00|1,080.00|0.00|1,080.00|1,080.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Cross Connector, 27mm - IY015 - 236041 (ES-04-6127)|50385776|AUD|0.00|655.00|0.00|655.00|655.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Polyaxial Screw, 4.5x30mm - IY004 - 236041 (ES-04-1430)|50385776|AUD|0.00|3,600.00|0.00|3,600.00|3,600.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Polyaxial Screw, 5.5x30mm - IY004 - 236041 (ES-04-1530)|50385776|AUD|0.00|900.00|0.00|900.00|900.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Polyaxial Screw, 5.5x40mm - IY004 - 236041 (ES-04-1540)|50385776|AUD|0.00|6,300.00|0.00|6,300.00|6,300.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Polyaxial Screw, 6.5x40mm - IY004 - 236041 (ES-04-1640)|50385776|AUD|0.00|900.00|0.00|900.00|900.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Polyaxial Screw, 4.5x20mm - IY004 - 236041 (ES-04-1420)|50385776|AUD|0.00|900.00|0.00|900.00|900.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Rod, 500mm - IY026 - 236041 (ES-04-4500)|50385776|AUD|0.00|1,352.00|0.00|1,352.00|1,352.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana CoCr Rod, 500mm - IY026 - 236041 (ES-04-4501)|50385776|AUD|0.00|1,352.00|0.00|1,352.00|1,352.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Set Screw - IY010 - 236041 (ES-04-7000)|50385776|AUD|0.00|2,592.00|0.00|2,592.00|2,592.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Pedicle Hook - Small - IY021 - 236041 (ES-04-9001)|50385776|AUD|0.00|1,500.00|0.00|1,500.00|1,500.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Wide Hook - Large - IY021 - 236041 (ES-04-9103)|50385776|AUD|0.00|1,500.00|0.00|1,500.00|1,500.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Noraker Glass Boneputty 1cc - IY001 - 341771 (GB-IP 1.0)|50386469|AUD|0.00|1,026.00|0.00|1,026.00|1,026.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Inline Connector - Small, 5.5mm to 5.5mm - IY015 - 236041 (ES-04-6116)|50386469|AUD|0.00|655.00|0.00|655.00|655.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Set Screw (Gold) - IY010 - 236041 (ES-04-6114(02))|50386469|AUD|0.00|288.00|0.00|288.00|288.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Set Screw - IY010 - 236041 (ES-04-7000)|50386469|AUD|0.00|360.00|0.00|360.00|360.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - PCBA Bone Drill - Adjustable, 3.5mm - N/A - 338137 (X31-06-1035)|50395062|AUD|0.00|490.00|0.00|490.00|490.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - PCBA Polyaxial Screw, 3.5x14mm - IY005 - 329318 (X31-06-3514)|50395062|AUD|0.00|6,300.00|0.00|6,300.00|6,300.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - PCBA Set Screw - IY011 - 329318 (X31-06-0100)|50395062|AUD|0.00|864.00|0.00|864.00|864.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - PCBA Pre-Bent Rod, 45mm - IY025 - 329318 (X31-06-7045)|50395062|AUD|0.00|710.00|0.00|710.00|710.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Noraker Glass Boneputty 2.5cc - IY001 - 341771 (GB-IP 2.5)|50396031|AUD|0.00|1,026.00|0.00|1,026.00|1,026.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Tesera SC Cage - Large, 7 Deg, 17.5 x 15 x 6 mm - IY055 - 354092 (1050-217-506)|50396031|AUD|0.00|4,162.00|0.00|4,162.00|4,162.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Tesera SC Screw, Self-Drilling - 3.5 x 14 mm - IY056 - 354092 (1050-135-014)|50396031|AUD|0.00|558.00|0.00|558.00|558.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Tesera SC Locking Plate - IY057 - 354092 (1050-003-004)|50396031|AUD|0.00|782.00|0.00|782.00|782.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Disposable Caspar Pin, 12mm - N/A - 236041 (132-20-0001)|50396031|AUD|0.00|150.00|0.00|150.00|150.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Noraker Glass Boneputty 1cc - IY001 - 341771 (GB-IP 1.0)|50396174|AUD|0.00|1,026.00|0.00|1,026.00|1,026.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Disposable Caspar Pin, 14mm - N/A - 236041 (132-20-0002)|50396174|AUD|0.00|150.00|0.00|150.00|150.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Standalone Locking Cervical Cage Size 5, Large - IY029 - 322672 (HRC5Ld)|50396174|AUD|0.00|3,890.00|0.00|3,890.00|3,890.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Revolution ACDF Self Drilling Variable Screw, 4.0x14mm - IY013 - 236041 (ES-02-8214)|50396174|AUD|0.00|300.00|0.00|300.00|300.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Revolution ACDF Mini Plate, 22mm - IY023 - 273279 (ES-02-7522)|50396174|AUD|0.00|980.00|0.00|980.00|980.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Polyaxial Screw, 5.5x35mm - IY004 - 236041 (ES-04-1535)|50396265|AUD|0.00|1,800.00|0.00|1,800.00|1,800.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Polyaxial Screw, 5.5x30mm - IY004 - 236041 (ES-04-1530)|50396265|AUD|0.00|3,600.00|0.00|3,600.00|3,600.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Polyaxial Screw, 5.5x40mm - IY004 - 236041 (ES-04-1540)|50396265|AUD|0.00|1,800.00|0.00|1,800.00|1,800.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Set Screw - IY010 - 236041 (ES-04-7000)|50396265|AUD|0.00|1,728.00|0.00|1,728.00|1,728.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana CoCr Rod, 500mm - IY026 - 236041 (ES-04-4501)|50396265|AUD|0.00|1,352.00|0.00|1,352.00|1,352.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Rod, 500mm - IY026 - 236041 (ES-04-4500)|50396265|AUD|0.00|1,352.00|0.00|1,352.00|1,352.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Pedicle Hook - Small - IY021 - 236041 (ES-04-9001)|50396265|AUD|0.00|1,500.00|0.00|1,500.00|1,500.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Wide Hook - Large - IY021 - 236041 (ES-04-9103)|50396265|AUD|0.00|1,500.00|0.00|1,500.00|1,500.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Cross Connector, 25mm - IY015 - 236041 (ES-04-6125)|50396265|AUD|0.00|655.00|0.00|655.00|655.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Cross Connector, 28-36mm - IY018 - 236041 (ES-04-6105)|50396265|AUD|0.00|1,080.00|0.00|1,080.00|1,080.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - JAZZ EVO - 5.5mm Connector Kit - IY042 - 200830 (150258)|50396265|AUD|0.00|1,520.00|0.00|1,520.00|1,520.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - JAZZ BAND - IY040 - 200830 (150156)|50396265|AUD|0.00|1,520.00|0.00|1,520.00|1,520.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - JAZZ EVO - 5.5mm Connector Kit - IY042 - 200830 (150258)|50396300|AUD|0.00|2,660.00|0.00|2,660.00|2,660.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - JAZZ BAND - IY040 - 200830 (150156)|50396300|AUD|0.00|2,660.00|0.00|2,660.00|2,660.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Rod, 500mm - IY026 - 236041 (ES-04-4500)|50396300|AUD|0.00|990.00|0.00|990.00|990.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana CoCr Rod, 500mm - IY026 - 236041 (ES-04-4501)|50396300|AUD|0.00|990.00|0.00|990.00|990.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Pedicle Hook - Small - IY021 - 236041 (ES-04-9001)|50396300|AUD|0.00|710.00|0.00|710.00|710.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Pedicle Hook - Medium - IY021 - 236041 (ES-04-9002)|50396300|AUD|0.00|710.00|0.00|710.00|710.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Wide Hook - Large - IY021 - 236041 (ES-04-9103)|50396300|AUD|0.00|1,420.00|0.00|1,420.00|1,420.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Polyaxial Screw, 5.5x30mm - IY004 - 236041 (ES-04-1530)|50396300|AUD|0.00|1,640.00|0.00|1,640.00|1,640.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Polyaxial Screw, 5.5x35mm - IY004 - 236041 (ES-04-1535)|50396300|AUD|0.00|5,740.00|0.00|5,740.00|5,740.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Polyaxial Screw, 5.5x40mm - IY004 - 236041 (ES-04-1540)|50396300|AUD|0.00|1,640.00|0.00|1,640.00|1,640.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Polyaxial Screw, 6.5x40mm - IY004 - 236041 (ES-04-1640)|50396300|AUD|0.00|820.00|0.00|820.00|820.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Set Screw - IY010 - 236041 (ES-04-7000)|50396300|AUD|0.00|2,040.00|0.00|2,040.00|2,040.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Cross Connector, 28-36mm - IY018 - 236041 (ES-04-6105)|50396300|AUD|0.00|950.00|0.00|950.00|950.00
Sales - South Eastern Sydney Local Health (POW Public)|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (POW Public) - Katana Cross Connector - Medium - IY018 - 236041 (ES-04-6102)|50396300|AUD|0.00|950.00|0.00|950.00|950.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Polyaxial Screw, 5.5x30mm - IY004 - 236041 (ES-04-1530)|50398051|AUD|0.00|7,200.00|0.00|7,200.00|7,200.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Polyaxial Screw, 5.5x35mm - IY004 - 236041 (ES-04-1535)|50398051|AUD|0.00|7,200.00|0.00|7,200.00|7,200.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Set Screw - IY010 - 236041 (ES-04-7000)|50398051|AUD|0.00|1,872.00|0.00|1,872.00|1,872.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Narrow Hook - Large - IY021 - 236041 (ES-04-9203)|50398051|AUD|0.00|750.00|0.00|750.00|750.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Wide Hook - Large - IY021 - 236041 (ES-04-9103)|50398051|AUD|0.00|1,500.00|0.00|1,500.00|1,500.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana Pedicle Hook - Small - IY021 - 236041 (ES-04-9001)|50398051|AUD|0.00|1,500.00|0.00|1,500.00|1,500.00
Sales - Sydney Children's Hospital|06 Aug 2024|Receivable Invoice|South Eastern Sydney Local Health (Sydney Children's Hospital) - Katana CoCr Rod, 500mm - IY026 - 236041 (ES-04-4501)|50398051|AUD|0.00|1,352.00|0.00|1,352.00|1,352.00
